voter,choice1,choice2,choice3,choice4,choice5
1285,Antonia,Flore,Jepson,Eliel,Rodrigo
1286,Flore,Eliel,Renata,Cherilyn,Antonia
1287,Gregor,Rodrigo,Regena,Jepson,Lea
1288,Gregor,Rinaldo,Regena,Cherilyn,Renata
1289,Jepson,Lea,Eliel,Regena,Flore
1290,Jepson,Monika,Renata,Antonia,Lea
1291,Jepson,Flore,Rodrigo,Cherilyn,Renata
1292,Antonia,Eliel,Flore,Rodrigo,Lea
1293,Lea,Gregor,Rinaldo,Antonia,Renata
1294,Cherilyn,Antonia,Monika,Regena,Lea
1295,Renata,Lea,Flore,Eliel,Jepson
1296,Rodrigo,Lea,Rinaldo,Jepson,Eliel
1297,Eliel,Lea,Regena,Antonia,Monika
1298,Lea,Rodrigo,Rinaldo,Jepson,Renata
1299,Monika,Jepson,Rodrigo,Rinaldo,Renata
1300,Jepson,Antonia,Flore,Eliel,Gregor
1301,Regena,Rodrigo,Rinaldo,Renata,Antonia
1302,Monika,Jepson,Rinaldo,Rodrigo,Renata
1303,Cherilyn,Regena,Rodrigo,Rinaldo,Flore
1304,Eliel,Rodrigo,Flore,Renata,Rinaldo
1305,Antonia,Jepson,Flore,Renata,Monika
1306,Cherilyn,Jepson,Regena,Eliel,Lea
1307,Jepson,Lea,Gregor,Regena,Monika
1308,Flore,Antonia,Rinaldo,Gregor,Jepson
1309,Regena,Renata,Cherilyn,Flore,Antonia
1310,Flore,Rodrigo,Antonia,Rinaldo,Jepson
1311,Monika,Renata,Rinaldo,Regena,Gregor
1312,Rodrigo,Monika,Cherilyn,Flore,Gregor
1313,Monika,Jepson,Eliel,Cherilyn,Antonia
1314,Gregor,Flore,Jepson,Cherilyn,Antonia
1315,Antonia,Cherilyn,Gregor,Rinaldo,Monika
1316,Renata,Jepson,Eliel,Cherilyn,Rinaldo
1317,Cherilyn,Flore,Rinaldo,Monika,Rodrigo
1318,Gregor,Lea,Monika,Rodrigo,Flore
1319,Rodrigo,Rinaldo,Jepson,Monika,Renata
1320,Renata,Flore,Jepson,Antonia,Gregor
1321,Cherilyn,Lea,Rinaldo,Renata,Monika
1322,Lea,Renata,Monika,Cherilyn,Flore
1323,Eliel,Jepson,Rinaldo,Regena,Renata
1324,Renata,Gregor,Lea,Eliel,Cherilyn
1325,Gregor,Rinaldo,Flore,Cherilyn,Antonia
1326,Eliel,Lea,Monika,Rodrigo,Jepson
1327,Antonia,Gregor,Eliel,Flore,Rodrigo
1328,Rinaldo,Lea,Regena,Renata,Jepson
1329,Regena,Lea,Monika,Flore,Eliel
1330,Renata,Rodrigo,Cherilyn,Flore,Antonia
1331,Eliel,Monika,Renata,Jepson,Regena
1332,Jepson,Antonia,Rodrigo,Lea,Cherilyn
1333,Cherilyn,Monika,Regena,Rinaldo,Jepson
1334,Cherilyn,Rinaldo,Flore,Jepson,Gregor
1335,Cherilyn,Jepson,Renata,Flore,Gregor
1336,Rinaldo,Antonia,Renata,Monika,Gregor
1337,Eliel,Cherilyn,Antonia,Monika,Regena
1338,Lea,Rodrigo,Antonia,Cherilyn,Monika
1339,Rodrigo,Gregor,Regena,Lea,Flore
1340,Rodrigo,Cherilyn,Rinaldo,Gregor,Jepson
1341,Flore,Eliel,Rodrigo,Cherilyn,Monika
1342,Flore,Gregor,Monika,Cherilyn,Regena
1343,Lea,Rinaldo,Eliel,Monika,Antonia
1344,Eliel,Gregor,Regena,Jepson,Rodrigo
1345,Jepson,Lea,Renata,Rinaldo,Monika
1346,Rinaldo,Rodrigo,Jepson,Eliel,Cherilyn
1347,Flore,Cherilyn,Antonia,Rinaldo,Rodrigo
1348,Regena,Eliel,Antonia,Gregor,Flore
1349,Flore,Jepson,Eliel,Gregor,Renata
1350,Eliel,Regena,Jepson,Flore,Renata
1351,Regena,Rodrigo,Gregor,Flore,Jepson
1352,Jepson,Antonia,Rinaldo,Renata,Monika
1353,Cherilyn,Regena,Flore,Rinaldo,Antonia
1354,Rodrigo,Eliel,Lea,Gregor,Cherilyn
1355,Antonia,Regena,Lea,Rinaldo,Gregor
1356,Antonia,Eliel,Rodrigo,Lea,Jepson
1357,Regena,Gregor,Renata,Eliel,Lea
1358,Rodrigo,Flore,Cherilyn,Rinaldo,Renata
1359,Gregor,Eliel,Rodrigo,Renata,Monika
1360,Regena,Gregor,Jepson,Cherilyn,Eliel
1361,Flore,Antonia,Jepson,Monika,Cherilyn
1362,Antonia,Renata,Rodrigo,Eliel,Regena
1363,Eliel,Rodrigo,Renata,Gregor,Flore
1364,Antonia,Rinaldo,Gregor,Cherilyn,Monika
1365,Lea,Regena,Gregor,Rodrigo,Flore
1366,Jepson,Cherilyn,Flore,Eliel,Antonia
1367,Cherilyn,Eliel,Jepson,Renata,Lea
1368,Eliel,Lea,Cherilyn,Gregor,Antonia
1369,Regena,Rodrigo,Lea,Renata,Flore
1370,Eliel,Rodrigo,Lea,Cherilyn,Rinaldo
1371,Renata,Cherilyn,Regena,Jepson,Monika
1372,Cherilyn,Flore,Rodrigo,Regena,Monika
1373,Rodrigo,Eliel,Regena,Monika,Cherilyn
1374,Flore,Jepson,Renata,Rodrigo,Antonia
1375,Eliel,Jepson,Flore,Gregor,Cherilyn
1376,Rinaldo,Renata,Eliel,Rodrigo,Gregor
1377,Flore,Antonia,Jepson,Cherilyn,Monika
1378,Jepson,Lea,Antonia,Renata,Cherilyn
1379,Cherilyn,Flore,Jepson,Regena,Renata
1380,Antonia,Flore,Eliel,Jepson,Gregor
1381,Lea,Flore,Eliel,Cherilyn,Regena
1382,Rodrigo,Renata,Flore,Lea,Jepson
1383,Flore,Lea,Rodrigo,Rinaldo,Antonia
1384,Regena,Gregor,Renata,Lea,Eliel
1385,Flore,Gregor,Antonia,Lea,Renata
1386,Rinaldo,Rodrigo,Monika,Antonia,Renata
1387,Rinaldo,Antonia,Gregor,Rodrigo,Eliel
1388,Renata,Monika,Lea,Cherilyn,Eliel
1389,Regena,Jepson,Lea,Eliel,Rinaldo
1390,Monika,Gregor,Regena,Lea,Eliel
1391,Lea,Rinaldo,Monika,Gregor,Antonia
1392,Antonia,Eliel,Jepson,Renata,Rodrigo
1393,Flore,Regena,Renata,Rinaldo,Eliel
1394,Antonia,Rinaldo,Rodrigo,Flore,Renata
1395,Renata,Flore,Eliel,Monika,Rodrigo
1396,Jepson,Gregor,Rinaldo,Cherilyn,Monika
1397,Flore,Eliel,Cherilyn,Antonia,Gregor
1398,Gregor,Eliel,Rodrigo,Antonia,Cherilyn
1399,Gregor,Eliel,Jepson,Rinaldo,Rodrigo
1400,Lea,Monika,Flore,Cherilyn,Renata
1401,Rinaldo,Monika,Renata,Lea,Eliel
1402,Antonia,Rodrigo,Cherilyn,Monika,Gregor
1403,Flore,Jepson,Lea,Antonia,Rinaldo
1404,Gregor,Lea,Eliel,Rodrigo,Regena
1405,Rinaldo,Flore,Antonia,Renata,Gregor
1406,Antonia,Monika,Lea,Cherilyn,Rodrigo
1407,Gregor,Cherilyn,Antonia,Monika,Eliel
1408,Antonia,Cherilyn,Gregor,Eliel,Regena
1409,Eliel,Flore,Regena,Antonia,Lea
1410,Gregor,Lea,Rodrigo,Monika,Flore
1411,Regena,Antonia,Renata,Gregor,Monika
1412,Cherilyn,Rodrigo,Flore,Antonia,Monika
1413,Regena,Rodrigo,Flore,Eliel,Renata
1414,Cherilyn,Jepson,Monika,Renata,Flore
1415,Regena,Lea,Rinaldo,Antonia,Gregor
1416,Eliel,Regena,Cherilyn,Lea,Rinaldo
1417,Rodrigo,Gregor,Renata,Cherilyn,Regena
1418,Eliel,Jepson,Flore,Monika,Lea
1419,Antonia,Eliel,Flore,Cherilyn,Regena
1420,Rodrigo,Gregor,Cherilyn,Monika,Rinaldo
1421,Jepson,Lea,Monika,Renata,Antonia
1422,Rinaldo,Cherilyn,Flore,Rodrigo,Regena
1423,Lea,Flore,Rodrigo,Jepson,Antonia
1424,Antonia,Gregor,Renata,Eliel,Jepson
1425,Gregor,Antonia,Monika,Rinaldo,Jepson
1426,Jepson,Rinaldo,Lea,Monika,Flore
1427,Rinaldo,Rodrigo,Regena,Jepson,Monika
1428,Antonia,Cherilyn,Monika,Jepson,Rinaldo
1429,Jepson,Rinaldo,Renata,Monika,Regena
1430,Cherilyn,Renata,Regena,Flore,Jepson
1431,Antonia,Renata,Lea,Flore,Monika
1432,Jepson,Rinaldo,Rodrigo,Antonia,Lea
1433,Cherilyn,Rinaldo,Lea,Eliel,Gregor
1434,Gregor,Antonia,Monika,Rinaldo,Cherilyn
1435,Eliel,Renata,Rodrigo,Jepson,Flore
1436,Rinaldo,Renata,Flore,Antonia,Monika
1437,Regena,Monika,Eliel,Renata,Antonia
1438,Monika,Regena,Flore,Cherilyn,Lea
1439,Rodrigo,Jepson,Rinaldo,Regena,Monika
1440,Rodrigo,Lea,Gregor,Regena,Renata
1441,Eliel,Lea,Renata,Rinaldo,Gregor
1442,Regena,Antonia,Renata,Cherilyn,Flore
1443,Antonia,Jepson,Regena,Rodrigo,Renata
1444,Antonia,Rinaldo,Lea,Cherilyn,Jepson
1445,Cherilyn,Eliel,Rodrigo,Regena,Lea
1446,Antonia,Regena,Gregor,Jepson,Renata
1447,Gregor,Regena,Renata,Monika,Jepson
1448,Cherilyn,Rinaldo,Lea,Monika,Renata
1449,Rodrigo,Renata,Jepson,Gregor,Lea
1450,Rodrigo,Regena,Antonia,Jepson,Lea
1451,Rinaldo,Renata,Cherilyn,Lea,Flore
1452,Regena,Flore,Cherilyn,Eliel,Antonia
1453,Lea,Cherilyn,Rodrigo,Antonia,Renata
1454,Flore,Cherilyn,Rinaldo,Monika,Jepson
1455,Lea,Antonia,Monika,Eliel,Flore
1456,Rinaldo,Rodrigo,Cherilyn,Flore,Eliel
1457,Jepson,Rodrigo,Regena,Antonia,Eliel
1458,Jepson,Lea,Cherilyn,Gregor,Rodrigo
1459,Eliel,Antonia,Monika,Regena,Renata
1460,Rodrigo,Regena,Flore,Lea,Renata
1461,Jepson,Cherilyn,Rodrigo,Rinaldo,Renata
1462,Lea,Rodrigo,Cherilyn,Rinaldo,Regena
1463,Cherilyn,Renata,Rodrigo,Regena,Lea
1464,Cherilyn,Jepson,Antonia,Eliel,Rinaldo
1465,Eliel,Regena,Rinaldo,Renata,Monika
1466,Regena,Renata,Flore,Jepson,Antonia
1467,Regena,Eliel,Rodrigo,Jepson,Renata
1468,Antonia,Gregor,Rinaldo,Flore,Lea
1469,Lea,Eliel,Jepson,Monika,Renata
1470,Cherilyn,Jepson,Flore,Eliel,Rinaldo
1471,Regena,Eliel,Cherilyn,Lea,Rinaldo
1472,Cherilyn,Antonia,Regena,Rodrigo,Renata
1473,Regena,Gregor,Renata,Jepson,Lea
1474,Rodrigo,Rinaldo,Gregor,Jepson,Renata
1475,Monika,Renata,Gregor,Eliel,Lea
1476,Rodrigo,Flore,Regena,Antonia,Monika
1477,Jepson,Rodrigo,Renata,Eliel,Monika
1478,Rodrigo,Jepson,Regena,Lea,Antonia
1479,Lea,Antonia,Rodrigo,Monika,Jepson
1480,Rodrigo,Jepson,Antonia,Rinaldo,Lea
1481,Jepson,Regena,Rodrigo,Renata,Gregor
1482,Lea,Eliel,Monika,Flore,Renata
1483,Rodrigo,Antonia,Gregor,Monika,Renata
1484,Regena,Jepson,Antonia,Rinaldo,Lea
1485,Flore,Regena,Rodrigo,Cherilyn,Jepson
1486,Antonia,Cherilyn,Flore,Regena,Monika
1487,Antonia,Lea,Flore,Cherilyn,Rinaldo
1488,Cherilyn,Regena,Flore,Jepson,Antonia
1489,Cherilyn,Eliel,Rodrigo,Rinaldo,Regena
1490,Monika,Renata,Regena,Gregor,Lea
1491,Cherilyn,Rinaldo,Monika,Regena,Eliel
1492,Monika,Eliel,Rinaldo,Flore,Regena
1493,Renata,Rinaldo,Eliel,Jepson,Antonia
1494,Rodrigo,Renata,Monika,Lea,Antonia
1495,Lea,Eliel,Flore,Gregor,Rodrigo
1496,Rodrigo,Rinaldo,Eliel,Regena,Monika
1497,Cherilyn,Jepson,Eliel,Rinaldo,Gregor
1498,Rinaldo,Renata,Gregor,Cherilyn,Eliel
1499,Rinaldo,Eliel,Antonia,Monika,Rodrigo
1500,Monika,Antonia,Rodrigo,Flore,Regena
1501,Regena,Renata,Gregor,Rinaldo,Flore
1502,Rinaldo,Jepson,Regena,Lea,Antonia
1503,Gregor,Jepson,Antonia,Rinaldo,Rodrigo
1504,Eliel,Regena,Rinaldo,Gregor,Flore
1505,Flore,Rinaldo,Renata,Cherilyn,Gregor
1506,Antonia,Rodrigo,Monika,Gregor,Flore
1507,Rodrigo,Gregor,Eliel,Renata,Cherilyn
1508,Rinaldo,Rodrigo,Flore,Regena,Jepson
1509,Eliel,Flore,Rodrigo,Renata,Antonia
1510,Cherilyn,Regena,Rinaldo,Eliel,Renata
1511,Monika,Rinaldo,Renata,Gregor,Jepson
1512,Rinaldo,Gregor,Jepson,Eliel,Cherilyn
1513,Antonia,Cherilyn,Rinaldo,Lea,Flore
1514,Gregor,Cherilyn,Rodrigo,Eliel,Antonia
1515,Monika,Antonia,Lea,Rinaldo,Regena
1516,Flore,Lea,Rinaldo,Monika,Gregor
1517,Flore,Rodrigo,Regena,Antonia,Cherilyn
1518,Rodrigo,Rinaldo,Flore,Cherilyn,Lea
1519,Gregor,Cherilyn,Rodrigo,Rinaldo,Renata
1520,Jepson,Renata,Eliel,Monika,Lea
1521,Monika,Cherilyn,Eliel,Flore,Rodrigo
1522,Rinaldo,Flore,Renata,Lea,Monika
1523,Renata,Gregor,Jepson,Rinaldo,Lea
1524,Regena,Cherilyn,Renata,Lea,Monika
1525,Flore,Eliel,Gregor,Cherilyn,Renata
1526,Rodrigo,Antonia,Eliel,Lea,Regena
1527,Antonia,Gregor,Renata,Rodrigo,Cherilyn
1528,Lea,Jepson,Gregor,Antonia,Renata
1529,Rodrigo,Cherilyn,Antonia,Monika,Rinaldo
1530,Rodrigo,Flore,Antonia,Rinaldo,Lea
1531,Rinaldo,Eliel,Monika,Antonia,Cherilyn
1532,Renata,Rinaldo,Cherilyn,Flore,Rodrigo
1533,Cherilyn,Regena,Rodrigo,Gregor,Monika
1534,Cherilyn,Antonia,Gregor,Monika,Eliel
1535,Renata,Rinaldo,Cherilyn,Regena,Gregor
1536,Regena,Cherilyn,Monika,Antonia,Flore
1537,Renata,Gregor,Monika,Flore,Antonia
1538,Jepson,Rinaldo,Cherilyn,Gregor,Eliel
1539,Antonia,Flore,Gregor,Jepson,Cherilyn
1540,Renata,Eliel,Antonia,Lea,Flore
1541,Renata,Lea,Jepson,Eliel,Rodrigo
1542,Rodrigo,Monika,Lea,Eliel,Rinaldo
1543,Regena,Rinaldo,Rodrigo,Renata,Cherilyn
1544,Rodrigo,Antonia,Jepson,Rinaldo,Gregor
1545,Eliel,Lea,Gregor,Monika,Regena
1546,Rinaldo,Flore,Lea,Antonia,Gregor
1547,Lea,Antonia,Renata,Monika,Jepson
1548,Antonia,Regena,Rodrigo,Flore,Gregor
1549,Flore,Regena,Renata,Lea,Antonia
1550,Rinaldo,Jepson,Antonia,Eliel,Renata
1551,Eliel,Rinaldo,Regena,Monika,Rodrigo
1552,Rodrigo,Monika,Renata,Rinaldo,Lea
1553,Antonia,Cherilyn,Gregor,Monika,Flore
1554,Renata,Eliel,Rinaldo,Monika,Antonia
1555,Eliel,Monika,Flore,Antonia,Rinaldo
1556,Eliel,Rodrigo,Gregor,Rinaldo,Flore
1557,Lea,Rinaldo,Eliel,Rodrigo,Jepson
1558,Jepson,Rodrigo,Eliel,Renata,Monika
1559,Flore,Jepson,Regena,Renata,Rodrigo
1560,Monika,Eliel,Regena,Rinaldo,Gregor
1561,Eliel,Renata,Regena,Flore,Cherilyn
1562,Regena,Gregor,Rodrigo,Eliel,Antonia
1563,Flore,Lea,Gregor,Antonia,Rodrigo
1564,Regena,Antonia,Gregor,Rodrigo,Rinaldo
1565,Renata,Gregor,Regena,Antonia,Rinaldo
1566,Rodrigo,Flore,Eliel,Regena,Gregor
1567,Rinaldo,Flore,Jepson,Rodrigo,Cherilyn
1568,Renata,Regena,Monika,Rodrigo,Rinaldo
1569,Jepson,Rinaldo,Gregor,Eliel,Flore
1570,Monika,Cherilyn,Eliel,Regena,Rodrigo
1571,Eliel,Monika,Gregor,Jepson,Renata
1572,Gregor,Renata,Antonia,Flore,Rodrigo
1573,Gregor,Antonia,Monika,Rinaldo,Renata
1574,Flore,Lea,Renata,Monika,Rodrigo
1575,Gregor,Rodrigo,Antonia,Regena,Jepson
1576,Gregor,Regena,Monika,Jepson,Flore
1577,Regena,Lea,Eliel,Gregor,Antonia
1578,Cherilyn,Rinaldo,Eliel,Rodrigo,Lea
1579,Eliel,Flore,Jepson,Antonia,Renata
1580,Rodrigo,Cherilyn,Monika,Flore,Eliel
1581,Gregor,Jepson,Regena,Antonia,Flore
1582,Rinaldo,Lea,Gregor,Monika,Jepson
1583,Antonia,Rodrigo,Jepson,Cherilyn,Regena
1584,Cherilyn,Jepson,Rodrigo,Regena,Gregor
1585,Renata,Jepson,Antonia,Lea,Rodrigo
1586,Flore,Cherilyn,Lea,Jepson,Regena
1587,Antonia,Rodrigo,Regena,Renata,Flore
1588,Gregor,Rinaldo,Regena,Flore,Antonia
1589,Lea,Jepson,Regena,Monika,Gregor
1590,Rodrigo,Monika,Rinaldo,Cherilyn,Gregor
1591,Rodrigo,Gregor,Lea,Antonia,Jepson
1592,Flore,Rodrigo,Regena,Eliel,Jepson
1593,Rodrigo,Rinaldo,Antonia,Lea,Renata
1594,Flore,Jepson,Lea,Eliel,Gregor
1595,Rinaldo,Antonia,Flore,Rodrigo,Eliel
1596,Gregor,Regena,Antonia,Cherilyn,Renata
1597,Eliel,Lea,Cherilyn,Rodrigo,Renata
1598,Rodrigo,Monika,Renata,Jepson,Eliel
1599,Lea,Rinaldo,Renata,Rodrigo,Regena
1600,Eliel,Monika,Renata,Regena,Antonia
1601,Regena,Jepson,Rinaldo,Lea,Rodrigo
1602,Regena,Monika,Eliel,Lea,Rodrigo
1603,Flore,Regena,Renata,Lea,Jepson
1604,Cherilyn,Flore,Gregor,Antonia,Jepson
1605,Regena,Rodrigo,Cherilyn,Monika,Rinaldo
1606,Jepson,Gregor,Monika,Regena,Eliel
1607,Flore,Renata,Antonia,Lea,Cherilyn
1608,Rinaldo,Renata,Regena,Eliel,Jepson
1609,Regena,Eliel,Renata,Flore,Jepson
1610,Renata,Antonia,Flore,Cherilyn,Regena
1611,Antonia,Jepson,Flore,Regena,Cherilyn
1612,Renata,Jepson,Regena,Antonia,Monika
1613,Cherilyn,Flore,Gregor,Lea,Antonia
1614,Gregor,Rodrigo,Flore,Rinaldo,Lea
1615,Antonia,Renata,Lea,Eliel,Monika
1616,Cherilyn,Rinaldo,Gregor,Lea,Rodrigo
1617,Jepson,Antonia,Gregor,Rodrigo,Monika
1618,Renata,Cherilyn,Monika,Lea,Rinaldo
1619,Rinaldo,Renata,Regena,Eliel,Antonia
1620,Antonia,Rodrigo,Regena,Flore,Monika
1621,Regena,Lea,Antonia,Renata,Rinaldo
1622,Cherilyn,Antonia,Rodrigo,Monika,Gregor
1623,Antonia,Gregor,Rodrigo,Renata,Eliel
1624,Lea,Regena,Cherilyn,Rinaldo,Monika
1625,Cherilyn,Rinaldo,Monika,Regena,Rodrigo
1626,Rodrigo,Antonia,Renata,Gregor,Rinaldo
1627,Gregor,Cherilyn,Flore,Eliel,Regena
1628,Regena,Monika,Antonia,Renata,Eliel
1629,Lea,Monika,Flore,Jepson,Rodrigo
1630,Antonia,Flore,Renata,Lea,Rodrigo
1631,Rodrigo,Regena,Rinaldo,Lea,Eliel
1632,Flore,Jepson,Renata,Eliel,Gregor
1633,Eliel,Jepson,Regena,Lea,Rinaldo
1634,Rinaldo,Eliel,Flore,Monika,Renata
1635,Rodrigo,Renata,Rinaldo,Flore,Antonia
1636,Regena,Renata,Lea,Flore,Cherilyn
1637,Lea,Eliel,Rinaldo,Rodrigo,Jepson
1638,Eliel,Jepson,Renata,Gregor,Monika
1639,Lea,Rodrigo,Monika,Gregor,Renata
1640,Antonia,Flore,Jepson,Lea,Cherilyn
1641,Gregor,Renata,Lea,Antonia,Eliel
1642,Cherilyn,Lea,Jepson,Flore,Renata
1643,Cherilyn,Monika,Rinaldo,Regena,Eliel
1644,Flore,Cherilyn,Antonia,Regena,Monika
1645,Gregor,Rinaldo,Lea,Regena,Rodrigo
1646,Gregor,Rodrigo,Regena,Lea,Renata
1647,Lea,Flore,Monika,Regena,Renata
1648,Rodrigo,Gregor,Monika,Flore,Antonia
1649,Flore,Rinaldo,Antonia,Rodrigo,Monika
1650,Gregor,Regena,Rinaldo,Flore,Jepson
1651,Jepson,Antonia,Renata,Rinaldo,Lea
1652,Cherilyn,Antonia,Lea,Monika,Eliel
1653,Flore,Rinaldo,Renata,Gregor,Cherilyn
1654,Gregor,Renata,Regena,Eliel,Flore
1655,Gregor,Rinaldo,Lea,Rodrigo,Monika
1656,Antonia,Rodrigo,Monika,Renata,Gregor
1657,Rinaldo,Monika,Eliel,Renata,Gregor
1658,Cherilyn,Renata,Regena,Rinaldo,Eliel
1659,Rinaldo,Flore,Lea,Gregor,Eliel
1660,Flore,Monika,Cherilyn,Rodrigo,Jepson
1661,Lea,Gregor,Rodrigo,Monika,Eliel
1662,Rodrigo,Antonia,Flore,Regena,Eliel
1663,Monika,Rinaldo,Antonia,Regena,Cherilyn
1664,Lea,Regena,Jepson,Flore,Cherilyn
1665,Flore,Lea,Rinaldo,Rodrigo,Regena
1666,Rodrigo,Rinaldo,Cherilyn,Monika,Lea
1667,Jepson,Rodrigo,Monika,Antonia,Regena
1668,Flore,Regena,Rodrigo,Renata,Lea
1669,Monika,Regena,Gregor,Rodrigo,Jepson
1670,Rinaldo,Renata,Antonia,Eliel,Cherilyn
1671,Lea,Regena,Rinaldo,Cherilyn,Rodrigo
1672,Antonia,Monika,Rodrigo,Gregor,Lea
1673,Renata,Monika,Eliel,Lea,Cherilyn
1674,Monika,Rodrigo,Antonia,Rinaldo,Eliel
1675,Renata,Monika,Antonia,Rodrigo,Gregor
1676,Monika,Regena,Jepson,Renata,Flore
1677,Jepson,Gregor,Eliel,Lea,Rodrigo
1678,Gregor,Lea,Monika,Cherilyn,Jepson
1679,Eliel,Rodrigo,Renata,Flore,Cherilyn
1680,Rinaldo,Monika,Gregor,Rodrigo,Renata
1681,Cherilyn,Renata,Lea,Flore,Rinaldo
1682,Jepson,Flore,Monika,Regena,Cherilyn
1683,Eliel,Rinaldo,Flore,Cherilyn,Renata
1684,Rodrigo,Monika,Gregor,Regena,Lea
1685,Cherilyn,Renata,Jepson,Rinaldo,Regena
1686,Cherilyn,Monika,Jepson,Flore,Eliel
1687,Renata,Gregor,Flore,Jepson,Monika
1688,Monika,Rinaldo,Gregor,Eliel,Renata
1689,Rodrigo,Eliel,Flore,Gregor,Rinaldo
1690,Gregor,Eliel,Renata,Lea,Monika
1691,Gregor,Regena,Renata,Eliel,Monika
1692,Regena,Monika,Flore,Jepson,Gregor
1693,Rinaldo,Antonia,Monika,Jepson,Gregor
1694,Flore,Eliel,Antonia,Lea,Gregor
1695,Eliel,Renata,Lea,Rinaldo,Cherilyn
1696,Renata,Flore,Rinaldo,Cherilyn,Eliel
1697,Rinaldo,Rodrigo,Regena,Flore,Gregor
1698,Monika,Cherilyn,Lea,Gregor,Antonia
1699,Gregor,Antonia,Lea,Flore,Rinaldo
1700,Rinaldo,Cherilyn,Regena,Eliel,Lea
1701,Eliel,Jepson,Renata,Regena,Gregor
1702,Lea,Jepson,Gregor,Regena,Rodrigo
1703,Antonia,Renata,Cherilyn,Monika,Regena
1704,Rodrigo,Antonia,Lea,Jepson,Cherilyn
1705,Cherilyn,Antonia,Jepson,Rinaldo,Flore
1706,Flore,Rodrigo,Lea,Rinaldo,Jepson
1707,Rinaldo,Jepson,Flore,Gregor,Cherilyn
1708,Regena,Eliel,Antonia,Rodrigo,Cherilyn
1709,Jepson,Rinaldo,Monika,Flore,Antonia
1710,Lea,Antonia,Rodrigo,Regena,Rinaldo
1711,Gregor,Renata,Eliel,Regena,Rinaldo
1712,Regena,Cherilyn,Antonia,Gregor,Eliel
1713,Lea,Cherilyn,Antonia,Regena,Flore
1714,Jepson,Antonia,Lea,Rinaldo,Cherilyn
1715,Eliel,Rinaldo,Antonia,Cherilyn,Regena
1716,Lea,Gregor,Renata,Cherilyn,Rinaldo
1717,Renata,Eliel,Jepson,Antonia,Gregor
1718,Flore,Regena,Antonia,Jepson,Rinaldo
1719,Gregor,Cherilyn,Jepson,Regena,Antonia
1720,Regena,Monika,Jepson,Rodrigo,Flore
1721,Cherilyn,Lea,Jepson,Gregor,Antonia
1722,Rinaldo,Gregor,Lea,Flore,Rodrigo
1723,Antonia,Cherilyn,Rodrigo,Regena,Flore
1724,Eliel,Monika,Antonia,Jepson,Renata
1725,Eliel,Lea,Antonia,Flore,Renata
1726,Rinaldo,Eliel,Jepson,Cherilyn,Flore
1727,Jepson,Rodrigo,Gregor,Monika,Cherilyn
1728,Renata,Lea,Rinaldo,Monika,Eliel
1729,Cherilyn,Antonia,Lea,Flore,Eliel
1730,Flore,Rinaldo,Regena,Renata,Jepson
1731,Cherilyn,Eliel,Flore,Renata,Rodrigo
1732,Eliel,Regena,Monika,Flore,Rodrigo
1733,Eliel,Flore,Renata,Regena,Gregor
1734,Rodrigo,Eliel,Flore,Monika,Antonia
1735,Jepson,Rodrigo,Eliel,Renata,Regena
1736,Eliel,Lea,Cherilyn,Renata,Rodrigo
1737,Antonia,Rinaldo,Lea,Rodrigo,Gregor
1738,Rinaldo,Renata,Regena,Antonia,Lea
1739,Gregor,Cherilyn,Flore,Rinaldo,Renata
1740,Flore,Gregor,Regena,Antonia,Jepson
1741,Antonia,Regena,Gregor,Rinaldo,Lea
1742,Flore,Antonia,Cherilyn,Rodrigo,Renata
1743,Gregor,Rodrigo,Regena,Renata,Monika
1744,Gregor,Cherilyn,Antonia,Renata,Regena
1745,Lea,Gregor,Antonia,Eliel,Monika
1746,Rinaldo,Lea,Flore,Cherilyn,Jepson
1747,Monika,Eliel,Gregor,Regena,Jepson
1748,Cherilyn,Renata,Regena,Rodrigo,Monika
1749,Cherilyn,Eliel,Rodrigo,Antonia,Jepson
1750,Rinaldo,Regena,Lea,Flore,Renata
1751,Renata,Eliel,Jepson,Rodrigo,Rinaldo
1752,Antonia,Regena,Cherilyn,Rinaldo,Gregor
1753,Rinaldo,Eliel,Monika,Antonia,Gregor
1754,Eliel,Rodrigo,Antonia,Monika,Jepson
1755,Antonia,Regena,Flore,Gregor,Jepson
1756,Rodrigo,Monika,Antonia,Gregor,Lea
1757,Cherilyn,Jepson,Antonia,Regena,Lea
1758,Cherilyn,Eliel,Rodrigo,Gregor,Rinaldo
1759,Renata,Cherilyn,Monika,Jepson,Antonia
1760,Gregor,Flore,Regena,Antonia,Rinaldo
1761,Renata,Flore,Antonia,Eliel,Regena
1762,Antonia,Jepson,Rinaldo,Rodrigo,Gregor
1763,Jepson,Rinaldo,Regena,Flore,Antonia
1764,Renata,Rinaldo,Rodrigo,Cherilyn,Gregor
1765,Renata,Gregor,Antonia,Monika,Cherilyn
1766,Regena,Rinaldo,Jepson,Renata,Lea
1767,Lea,Jepson,Cherilyn,Gregor,Renata
1768,Flore,Cherilyn,Rinaldo,Gregor,Regena
1769,Regena,Antonia,Flore,Rinaldo,Renata
1770,Regena,Antonia,Lea,Gregor,Cherilyn
1771,Flore,Regena,Cherilyn,Antonia,Monika
1772,Lea,Eliel,Renata,Antonia,Cherilyn
1773,Lea,Gregor,Eliel,Rinaldo,Flore
1774,Gregor,Lea,Regena,Antonia,Eliel
